"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0,0,0,0,0,0
"2",0.107360468786821,0.0713431102599109,0.0545857865392637,0.055644117636565,0.0476566627957375,0.0460096993932301,0.0417966482384529,0.0464183318320008,0.0457843042505702
"3",0.261838380407742,0.220290541160007,0.211839105067454,0.204081901536232,0.202547724493422,0.202266338425243,0.203324615817993,0.214306359477325,0.21217951756673
"4",0.640183882579541,0.634329133751068,0.617531380236123,0.607638819167863,0.586325535055635,0.595875623460309,0.624320107536488,0.625833909290961,0.667844115447012
"5",0.914783422532884,0.925207631650115,0.930161016798633,0.916418882231297,0.92122575461672,0.916907472871339,0.93200735606532,0.940149922484787,0.931257124559402
"6",1,1,1,1,1,1,1,1,1
